TSNE1,TSNE2,set_label,opacity
52.137623,38.953888,Molpher,0.8
24.004087,23.55702,Molpher,0.8
101.751564,-28.064474,Molpher,0.8
55.420406,41.157192,Molpher,0.8
92.25786,-3.678961,Molpher,0.8
53.587,-74.39118,Molpher,0.8
-39.91926,92.821465,Molpher,0.8
85.478424,10.501849,Molpher,0.8
79.9595,28.6978,Molpher,0.8
13.45274,14.774657,Molpher,0.8
77.1067,-45.4697,Molpher,0.8
85.05371,11.240236,Molpher,0.8
82.43957,-52.090183,Molpher,0.8
17.42097,-10.21744,Molpher,0.8
-33.54012,101.74531,Molpher,0.8
-9.81452,-12.246391,Molpher,0.8
-10.357596,-4.7231417,Molpher,0.8
40.061573,-67.96621,Molpher,0.8
52.137493,-58.775536,Molpher,0.8
56.799107,-24.571241,Molpher,0.8
-91.89094,38.687305,Molpher,0.8
-15.867623,-48.397556,Molpher,0.8
102.96442,-17.009762,Molpher,0.8
-74.943054,-61.14703,Molpher,0.8
-8.873333,-35.857544,Molpher,0.8
89.881584,-6.5253716,Molpher,0.8
62.955906,-40.474438,Molpher,0.8
0.63578063,-29.994349,Molpher,0.8
63.140003,-25.13773,Molpher,0.8
43.45719,2.9417784,Molpher,0.8
-35.022278,23.239067,Molpher,0.8
63.440014,-27.230492,Molpher,0.8
51.7503,39.025944,Molpher,0.8
61.4675,13.121725,Molpher,0.8
36.47193,46.933537,Molpher,0.8
85.08474,10.5782385,Molpher,0.8
63.385727,-72.0402,Molpher,0.8
58.53361,-49.356693,Molpher,0.8
44.01201,-33.914444,Molpher,0.8
1.1729454,-91.405876,Molpher,0.8
13.326373,-20.568321,Molpher,0.8
77.88485,-57.76175,Molpher,0.8
36.51909,26.154125,Molpher,0.8
58.493088,43.466206,Molpher,0.8
61.103085,-72.882614,Molpher,0.8
58.886887,43.84376,Molpher,0.8
-10.80062,-13.219238,Molpher,0.8
86.30442,25.415937,Molpher,0.8
56.05576,21.356218,Molpher,0.8
49.983192,27.900484,Molpher,0.8
57.966393,-11.45633,Molpher,0.8
56.078617,49.94514,Molpher,0.8
32.396477,-81.52415,Molpher,0.8
58.10459,-11.431285,Molpher,0.8
71.079666,22.849442,Molpher,0.8
92.999084,29.32697,Molpher,0.8
39.16957,12.002717,Molpher,0.8
40.993057,41.7134,Molpher,0.8
92.58773,-3.095383,Molpher,0.8
-39.393223,91.37781,Molpher,0.8
78.94762,29.65009,Molpher,0.8
22.382643,24.910559,Molpher,0.8
