chembl_id,pchembl_value,canonical_smiles,scaffolds_csk
43,CHEMBL65570,7.390000000000001,COc1cccc2c1-c1ccc(NS(=O)(=O)c3cccs3)cc1C(c1ccccc1)O2,C1CCC(C2CC3CCCCC3C3CCC(CCC4CCCC4)CC23)CC1
44,CHEMBL158091,8.85,CC1(C)O[C@@H]2CC3C4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(S[C@@H]2CCOC2=O)O1,C1CCC(CC23CCCC2CC2C4CCC5CCCCC5C4CCC23)C1
45,CHEMBL294800,8.34,COc1cccc2c1-c1ccc(NS(C)(=O)=O)cc1C(c1cccc(C)c1)O2,C1CCC(C2CC3CCCCC3C3CCCCC23)CC1
46,CHEMBL292284,8.0,CC(=O)C[C@]1(C(C)=O)CC[C@H]2C3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,C1CCC2C(C1)CCC1C3CCCC3CCC21
47,CHEMBL1908373,7.57,CN(C)c1ccc([C@H]2C[C@]3(C)[C@@H](CC[C@]3(O)CCCO)[C@@H]3CCC4=CC(=O)CCC4=C32)cc1,C1CCC(C2CC3CCCC3C3CCC4CCCCC4C23)CC1
48,CHEMBL68083,7.41,Cc1c(NS(C)(=O)=O)cccc1N(Cc1ccccc1)Cc1ccc(F)cc1F,C1CCC(CC(CC2CCCCC2)C2CCCCC2)CC1
49,CHEMBL132889,7.46,Cc1cc(C#N)sc1-c1ccc2c(c1)C(C)(C)C(=O)C(C)(C)N2,C1CCC2CC(C3CCCC3)CCC2C1
50,CHEMBL317921,7.1,CC1=CC(C)(C)Nc2ccc3c(c21)C(c1ccc(Cl)c(Cl)c1)Oc1ccccc1-3,C1CCC(C2CC3CCCCC3C3CCC4CCCCC4C23)CC1
51,CHEMBL302248,7.44,Cc1c(NS(C)(=O)=O)cccc1N(Cc1ccccc1)Cc1ccccc1Cl,C1CCC(CC(CC2CCCCC2)C2CCCCC2)CC1
52,CHEMBL72182,7.7,CS(=O)(=O)Nc1ccc2c(c1)N(Cc1ccccc1)Cc1ccccc1-2,C1CCC(CC2CC3CCCCC3C3CCCCC23)CC1
53,CHEMBL134277,7.0,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1ccsc1)Oc1ccc(F)cc1-3,C1CCC(CC2CC3CCCCC3C3CCC4CCCCC4C23)C1
54,CHEMBL415524,7.11,CCc1ccccc1/C=C1\Oc2ccc(F)cc2-c2ccc3c(c21)C(C)=CC(C)(C)N3,C1CCC(CC2CC3CCCCC3C3CCC4CCCCC4C23)CC1
55,CHEMBL302758,7.22,Cc1c(NS(C)(=O)=O)cccc1N(Cc1ccccc1)Cc1ccccc1C#N,C1CCC(CC(CC2CCCCC2)C2CCCCC2)CC1
56,CHEMBL1276308,8.450416666666667,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,C1CCC(C2CC3CCCC3C3CCC4CCCCC4C23)CC1
57,CHEMBL442744,7.68,CCCCCC1Oc2cccc(OC)c2-c2ccc(NS(C)(=O)=O)cc21,C1CCC2C(C1)CCC1CCCCC12
58,CHEMBL717,7.859999999999999,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,C1CCC2C(C1)CCC1C3CCCC3CCC21
59,CHEMBL335996,7.05,COc1ccccc1/C=C1\Oc2ccc(F)cc2-c2ccc3c(c21)C(C)=CC(C)(C)N3,C1CCC(CC2CC3CCCCC3C3CCC4CCCCC4C23)CC1
60,CHEMBL302366,8.325,CC1(C)O[C@@H]2CC3C4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CSC2CCOC2=O)O1,C1CCC(CCCC23CCCC2CC2C4CCC5CCCCC5C4CCC23)C1
61,CHEMBL1473,9.846,CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,C1CCC2C(C1)CCC1C3CCCC3CCC21
62,CHEMBL28157,7.46,N#Cc1cc(F)cc(-c2ccc3c(c2)C2(CCCCC2)C(S)=N3)c1,C1CCC(C2CCC3CCC4(CCCCC4)C3C2)CC1
63,CHEMBL196509,7.85,C[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CCCC21OCCO1,C1CCC(C2CCC3CC4C(CCCC45CCCC5)CC32)CC1
64,CHEMBL382102,8.92,C=C[C@H]1OC2(CCCC3=Cc4c(cnn4-c4ccc(F)cc4)C[C@@]32C)O[C@@H]1C=C,C1CCC(C2CCC3CC4C(CCCC45CCCC5)CC32)CC1
65,CHEMBL371311,7.38,C[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CCC21OCCO1,C1CCC(C2CCC3CC4C(CCC45CCCC5)CC32)CC1
66,CHEMBL194012,7.62,C[C@H]1OC2(CCC3=Cc4c(cnn4-c4ccc(F)cc4)C[C@@]32C)O[C@@H]1C,C1CCC(C2CCC3CC4C(CCC45CCCC5)CC32)CC1
67,CHEMBL195723,8.1,C=C[C@H]1OC2(CCC3=Cc4c(cnn4-c4ccc(F)cc4)C[C@@]32C)O[C@@H]1C=C,C1CCC(C2CCC3CC4C(CCC45CCCC5)CC32)CC1
68,CHEMBL434183,8.15,C[C@H]1C[C@H](C)OC2(CCC3=Cc4c(cnn4-c4ccc(F)cc4)C[C@@]32C)O1,C1CCC(C2CCC3CC4C(CCC45CCCCC5)CC32)CC1
69,CHEMBL371988,8.0,C[C@H]1OC2(CCCC3=Cc4c(cnn4-c4ccc(F)cc4)C[C@@]32C)O[C@@H]1C,C1CCC(C2CCC3CC4C(CCCC45CCCC5)CC32)CC1
70,CHEMBL197312,8.26,CC[C@H]1OC2(CCCC3=Cc4c(cnn4-c4ccc(F)cc4)C[C@@]32C)O[C@@H]1CC,C1CCC(C2CCC3CC4C(CCCC45CCCC5)CC32)CC1
71,CHEMBL193760,8.05,CCC[C@H]1OC2(CCCC3=Cc4c(cnn4-c4ccc(F)cc4)C[C@@]32C)O[C@@H]1CCC,C1CCC(C2CCC3CC4C(CCCC45CCCC5)CC32)CC1
72,CHEMBL196975,7.66,CCCC[C@H]1OC2(CCCC3=Cc4c(cnn4-c4ccc(F)cc4)C[C@@]32C)O[C@@H]1CCCC,C1CCC(C2CCC3CC4C(CCCC45CCCC5)CC32)CC1
73,CHEMBL433586,8.3,C[C@@H]1C[C@H]2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)O,C1CCC2C(C1)CCC1C3CCCC3CCC21
74,CHEMBL196185,8.6,C/C=C/[C@H]1OC2(CCCC3=Cc4c(cnn4-c4ccc(F)cc4)C[C@@]32C)O[C@@H]1/C=C/C,C1CCC(C2CCC3CC4C(CCCC45CCCC5)CC32)CC1
75,CHEMBL193798,8.0,C[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CCCC21O[C@H](c2ccccc2)[C@@H](c2ccccc2)O1,C1CCC(C2CCC3CC4C(CCCC45CC(C4CCCCC4)C(C4CCCCC4)C5)CC32)CC1
76,CHEMBL195451,8.08,C[C@@H]1C[C@@H](C)OC2(CCCC3=Cc4c(cnn4-c4ccc(F)cc4)C[C@@]32C)O1,C1CCC(C2CCC3CC4C(CCCC45CCCCC5)CC32)CC1
77,CHEMBL370194,8.18,CC[C@H]1OC2(CCC3=Cc4c(cnn4-c4ccc(F)cc4)C[C@@]32C)O[C@@H]1CC,C1CCC(C2CCC3CC4C(CCC45CCCC5)CC32)CC1
78,CHEMBL444286,8.57,C/C=C/[C@H]1OC2(CCC3=Cc4c(cnn4-c4ccc(F)cc4)C[C@@]32C)O[C@@H]1/C=C/C,C1CCC(C2CCC3CC4C(CCC45CCCC5)CC32)CC1
79,CHEMBL193703,7.58,COC[C@H]1OC2(CCC3=Cc4c(cnn4-c4ccc(F)cc4)C[C@@]32C)O[C@@H]1COC,C1CCC(C2CCC3CC4C(CCC45CCCC5)CC32)CC1
80,CHEMBL195990,8.0,C[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CCC21O[C@H](c2ccccc2)[C@@H](c2ccccc2)O1,C1CCC(C2CCC3CC4C(CCC45CC(C4CCCCC4)C(C4CCCCC4)C5)CC32)CC1
81,CHEMBL365546,8.08,C[C@@H]1C[C@@H](C)OC2(CCC3=Cc4c(cnn4-c4ccc(F)cc4)C[C@@]32C)O1,C1CCC(C2CCC3CC4C(CCC45CCCCC5)CC32)CC1
82,CHEMBL380790,7.75,C[C@@H]1CCO[C@@]2(CCC3=Cc4c(cnn4-c4ccc(F)cc4)C[C@@]32C)O1,C1CCC(C2CCC3CC4C(CCC45CCCCC5)CC32)CC1
83,CHEMBL193986,7.68,C[C@H]1CCO[C@]2(CCC3=Cc4c(cnn4-c4ccc(F)cc4)C[C@@]32C)O1,C1CCC(C2CCC3CC4C(CCC45CCCCC5)CC32)CC1
84,CHEMBL361406,7.275,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C[C@@H](O)CC(=O)O)cc3)C[C@@]21C,C1CCC(C2CC3CCCC3C3CCC4CCCCC4C23)CC1
