unique_scaffold_recall,count_of_occurance,uniq_occurance
O=S(=O)(NCCCNc1cccc2c1cnn2-c1ccccc1)c1ccccc1,10,1
O=S(=O)(NCCCNc1ncnc2c1cnn2-c1ccccc1)c1ccccc1,0,0
c1cncc(-c2cccc(CCCCc3cc4ccncc4[nH]3)c2)c1,0,0
c1cc(CCCCc2cc3ccncc3[nH]2)cc(-c2cncnc2)c1,0,0
c1cc(CCCCc2cc3ccncc3[nH]2)cc(-c2ccncc2)c1,0,0
c1ccc(-c2cccc(CCCCc3cc4ccncc4[nH]3)c2)cc1,0,0
O=C(CCCc1ccccc1)Nc1ccc2c(=O)oncc2c1,38,1
O=c1oncc2cc(NCCCCc3ccccc3)ccc12,4,1
O=C1C=CC2C(=C1)CCC1C2CCC2C1CCC2(OC(=O)c1ccco1)C(=O)CSc1nccc2ccccc12,0,0
O=C1C=C2CCC3C(CCC4C3CCC4(OC(=O)c3ccco3)C(=O)CSc3nccc4ccccc34)C2CC1,0,0
