UMAP1,UMAP2,set_label
8.517446,1.1917769,IS
8.746937,1.4137967,IS
8.510537,1.1884084,IS
6.2461157,11.534331,IS
7.5660114,-1.0507364,IS
11.4101,7.0808244,IS
5.8058004,1.750352,IS
5.901466,1.8712713,IS
5.917515,1.89123,IS
7.522454,13.470706,IS
7.124702,11.841742,IS
7.1472673,11.917931,IS
7.9236774,11.908095,IS
7.9060125,11.912422,IS
7.639231,12.105392,IS
15.424582,-2.228444,IS
15.414817,-2.208137,IS
15.411811,-2.226367,IS
15.413038,-2.1936045,IS
15.416783,-2.2499893,IS
15.38489,-2.2394722,IS
10.022357,9.153494,IS
10.007474,9.14968,IS
9.920934,9.172471,IS
7.842872,11.777875,IS
7.4164567,11.90976,IS
7.8135943,11.809682,IS
7.847661,11.936517,IS
7.032533,14.352323,IS
7.0471168,14.348729,IS
15.869997,3.9246473,IS
7.1081815,12.238427,IS
7.0658803,12.210727,IS
7.0934014,12.233308,IS
7.3504753,12.312364,IS
7.0564218,12.253986,IS
14.896538,2.6581807,IS
11.521509,7.0431967,IS
7.4646072,13.567574,IS
9.340763,5.467388,IS
1.2420138,7.5881596,IS
1.4714835,7.1720285,IS
1.5046216,7.1567054,IS
12.124597,7.499072,IS
12.14893,7.5220623,IS
12.117651,7.489282,IS
12.127899,7.4960227,IS
12.485023,12.893456,IS
12.360104,13.005699,IS
12.511721,12.919577,IS
12.585669,12.902234,IS
12.385024,12.975328,IS
12.4188795,13.081222,IS
12.438662,12.964486,IS
12.408919,13.106361,IS
12.31421,13.065363,IS
10.939617,12.574718,IS
12.614164,12.869186,IS
12.508696,12.911185,IS
12.337907,13.144508,IS
12.104122,12.970714,IS
12.479959,12.973599,IS
12.267961,12.999049,IS
12.05943,13.126126,IS
12.538619,12.871584,IS
12.099514,12.868586,IS
10.921694,12.557625,IS
10.94297,12.580867,IS
12.529411,13.102892,IS
10.907968,12.572188,IS
10.1952505,12.661469,IS
12.088351,12.909741,IS
10.936836,12.590621,IS
12.441434,12.873888,IS
12.06758,12.920111,IS
12.017001,12.969394,IS
12.50985,12.93703,IS
11.983618,12.994163,IS
12.379714,12.958632,IS
10.178117,12.659407,IS
12.391046,13.100009,IS
12.522558,13.322554,IS
12.063937,12.889833,IS
12.470616,13.296893,IS
10.193294,12.754566,IS
12.05981,12.955263,IS
12.107317,12.861505,IS
10.224934,12.713871,IS
12.183824,12.832355,IS
10.194194,12.6665125,IS
12.381186,13.049912,IS
11.446406,13.72554,IS
10.165781,12.635403,IS
12.50446,12.940718,IS
10.193661,12.68399,IS
12.395002,13.009401,IS
10.20376,12.706245,IS
11.397268,13.853386,IS
11.943847,12.903878,IS
10.187089,12.673243,IS
10.169871,12.670123,IS
12.0070715,12.950158,IS
7.5717936,13.15512,IS
7.982761,12.268017,IS
7.504643,13.509408,IS
7.4841623,13.611198,IS
7.5566792,12.844755,IS
7.505045,13.499687,IS
7.6045227,12.744115,IS
10.7081785,9.960881,IS
10.728288,9.892209,IS
10.727305,9.9129,IS
10.737279,9.888333,IS
15.76298,3.8356059,IS
15.775651,3.838448,IS
15.719627,3.8064587,IS
15.752912,3.8146822,IS
15.726859,3.867591,IS
15.757368,3.8364604,IS
15.761311,3.8223429,IS
11.39801,13.9272785,IS
12.324202,13.005728,IS
15.911615,-2.3176017,IS
15.923794,-2.2936559,IS
15.462618,-2.2760851,IS
15.929781,-2.2227685,IS
15.949116,-2.3081381,IS
15.869226,-2.342142,IS
15.340172,-2.387885,IS
15.994275,-2.1607592,IS
