UMAP1,UMAP2,set_label
4.522856,0.8162838,IS
4.5424848,0.7639725,IS
4.67746,0.7050934,IS
4.649322,0.71549016,IS
4.9423194,3.013869,IS
4.9055867,3.0338213,IS
5.7329516,2.887824,IS
5.641577,2.8985136,IS
1.4428054,5.232993,IS
1.387893,5.293831,IS
1.9793876,3.6968062,IS
4.381511,1.7725382,IS
4.778336,1.9895226,IS
11.798742,-0.45260882,IS
11.723684,-0.4224066,IS
11.795261,-0.45154515,IS
11.934704,-0.48423094,IS
11.922757,-0.5597971,IS
11.951636,-0.5353401,IS
11.913485,-0.46384755,IS
11.905694,-0.55729836,IS
11.858934,-0.5650757,IS
7.4062223,-1.0903337,IS
5.4952135,2.3729694,IS
5.438458,2.3011918,IS
7.860121,6.8133564,IS
10.695615,0.65491813,IS
6.4179654,3.8591175,IS
6.911272,1.9880414,IS
11.165745,-0.21469802,IS
11.075832,-0.21943922,IS
11.128943,-0.4590783,IS
10.914851,-0.43115637,IS
10.566421,-1.2010404,IS
10.648566,-1.1935569,IS
10.630143,-1.1808301,IS
8.224934,-0.65537304,IS
8.285522,-0.65383005,IS
8.197123,-0.6034627,IS
8.332291,-0.8382691,IS
8.259107,-0.8140091,IS
8.255119,-0.58242834,IS
8.296667,-0.73411983,IS
8.239988,-0.7729969,IS
7.272864,-0.65724474,IS
8.196994,-0.5740965,IS
8.122663,-0.61113906,IS
8.318014,-0.69608533,IS
8.310965,-0.6918468,IS
8.195928,-0.6296109,IS
8.2224655,-0.8152219,IS
8.228161,-0.65974456,IS
8.326967,-0.8311655,IS
7.631647,-0.38634828,IS
8.260562,-0.74878466,IS
7.5584464,-0.2358771,IS
10.232006,-1.38099,IS
10.1954565,-1.4297729,IS
10.1991825,-1.4537319,IS
10.170001,-1.4008443,IS
9.54793,-0.070626475,IS
11.0596285,-0.38960236,IS
12.494779,0.5641997,IS
11.73817,2.868768,IS
12.069364,-1.1508929,IS
11.889558,-0.993856,IS
11.914192,-1.0468303,IS
11.888071,-1.0820161,IS
2.115012,-3.738722,IS
9.9090395,-1.3090373,IS
8.684136,-2.6009068,IS
8.844043,-2.6831288,IS
8.850304,-2.6890461,IS
8.8417015,-2.6934967,IS
8.884876,-2.7471516,IS
9.259892,-0.17214441,IS
8.870264,-2.736378,IS
8.872946,-2.7428849,IS
8.877609,-2.7371805,IS
8.800355,-2.661123,IS
10.330627,-0.33712637,IS
10.396214,-0.31630585,IS
10.406572,-0.31130406,IS
10.35578,-0.3127961,IS
10.39595,-0.33867574,IS
11.269241,0.7100719,IS
11.1911,0.6618384,IS
11.260912,0.6915965,IS
10.535722,-0.9940795,IS
10.533257,-0.9610624,IS
9.729722,-0.29270175,IS
9.71015,-0.27770472,IS
9.623215,-0.30857158,IS
9.705297,-0.28360453,IS
10.9668,-0.07250204,IS
11.136631,-0.22951132,IS
2.7996278,-1.5417027,IS
2.7750857,-1.5334846,IS
9.587232,-0.28574052,IS
10.636818,-1.1969414,IS
9.927625,-1.2757359,IS
9.899683,-1.205988,IS
1.4209797,5.2435484,IS
11.8968725,-1.2435188,IS
11.674175,-1.025151,IS
9.866571,-1.1488647,IS
10.63797,-0.8283157,IS
10.661135,-0.9678959,IS
9.54845,-0.6708644,IS
9.612541,-0.5981483,IS
5.340042,-0.079882205,IS
1.4643183,5.2128553,IS
7.014102,2.1114655,IS
7.164933,1.9670237,IS
2.18964,-3.665753,IS
2.2178,-3.6394777,IS
8.621956,8.408791,IS
7.677815,2.3829012,IS
6.0259504,-0.044516936,IS
9.847596,-1.1245975,IS
9.863804,-1.0391881,IS
6.134138,-0.12463654,IS
6.154996,-0.1175137,IS
10.224672,-1.6453665,IS
10.692736,-1.2361889,IS
12.092857,-6.223622,IS
12.091828,-6.2294207,IS
9.951234,-0.07173295,IS
2.8143096,-1.5646484,IS
10.724366,-0.45418417,IS
10.719317,-0.43639377,IS
10.3824,-1.1131018,IS
9.988587,-1.336454,IS
11.054665,-2.2195034,IS
7.752274,-0.45743212,IS
3.5669708,-3.1138804,IS
9.973441,-1.3138213,IS
11.24858,-3.6106067,IS
9.863563,-1.0753802,IS
9.926721,-1.3122215,IS
5.973377,-0.17393228,IS
10.670668,-1.2541375,IS
12.575138,0.5654813,IS
9.492121,1.8100269,IS
9.578157,1.9654425,IS
9.158246,2.3317475,IS
9.127056,2.2950742,IS
9.237877,2.344168,IS
9.716746,1.2766045,IS
9.701832,1.6844528,IS
10.170369,1.6047053,IS
9.801256,1.269434,IS
9.406395,1.3901225,IS
9.581098,1.1479394,IS
9.318475,2.308538,IS
9.559419,1.2276789,IS
9.615226,1.2135813,IS
10.128092,1.5675272,IS
9.605543,1.6718948,IS
9.591869,1.8748758,IS
9.350475,1.8030744,IS
9.610349,1.2519786,IS
9.603252,1.1568681,IS
10.0654745,1.5896606,IS
9.225806,1.1362168,IS
9.783205,1.3797933,IS
9.82342,1.349246,IS
9.652389,1.2198716,IS
9.061269,1.1029122,IS
9.2424965,1.3155653,IS
9.060639,2.393128,IS
9.898213,1.5277338,IS
9.788148,1.3734603,IS
9.464136,1.5140424,IS
9.876033,1.4285038,IS
9.672183,1.3385328,IS
9.801139,1.3895634,IS
9.493276,2.391882,IS
9.11762,2.3274677,IS
9.722225,1.2019054,IS
9.918047,1.4759592,IS
9.226005,1.4122479,IS
9.313189,1.3818274,IS
9.523473,1.3386407,IS
9.659221,1.1623114,IS
10.096527,1.539199,IS
9.826898,1.3638878,IS
9.56826,2.2153554,IS
9.522998,1.4742897,IS
9.242516,1.3288351,IS
9.398536,1.3910098,IS
9.580478,1.5042591,IS
9.475362,2.162749,IS
9.603032,1.5110034,IS
9.505448,1.5234498,IS
9.412816,1.4097139,IS
9.047777,2.1265876,IS
9.481506,1.5952066,IS
9.503295,1.499982,IS
9.550529,1.8696333,IS
9.448257,1.3981794,IS
9.161806,2.1839232,IS
9.611066,1.5088447,IS
9.363266,1.3100376,IS
9.4997015,1.3753192,IS
9.483424,2.0840383,IS
4.594931,8.276939,IS
4.5787497,8.296286,IS
5.09113,8.292585,IS
5.1097827,8.28854,IS
4.9974685,8.387791,IS
5.0190854,8.387973,IS
4.69253,8.263067,IS
5.0264072,8.397387,IS
5.6529126,8.229458,IS
6.8374243,-0.23577644,IS
6.9178414,-0.30282494,IS
7.7055583,-0.42242116,IS
6.941404,-0.24489655,IS
7.303958,-0.44651496,IS
7.2197313,-0.6626844,IS
7.6290865,-0.05703073,IS
6.730379,-0.60249215,IS
7.5918956,-0.079748735,IS
6.821784,-0.45404178,IS
6.7029905,-0.66587,IS
6.7154713,-0.23315522,IS
7.314902,-0.63193506,IS
7.3601027,-0.57000977,IS
7.2223673,-0.41517812,IS
7.0963583,-1.0221151,IS
6.7351747,-0.5646549,IS
6.8019786,-0.56460905,IS
6.7078266,-0.6556418,IS
7.2693357,-0.70740294,IS
7.361541,-0.20098555,IS
4.8679643,6.5116835,IS
5.231138,6.7508936,IS
5.071981,6.6245356,IS
