UMAP1,UMAP2,set_label
8.2885,7.513118,IS
8.195997,9.20183,IS
8.150819,9.483809,IS
8.159121,9.4782715,IS
8.260285,9.369781,IS
8.12538,9.566341,IS
9.260339,11.121804,IS
9.620223,10.786945,IS
8.1782875,9.103087,IS
9.141686,9.953279,IS
8.7306385,10.030044,IS
9.468014,11.411317,IS
9.239862,11.1481905,IS
9.163928,11.282908,IS
8.05336,9.4962015,IS
9.204409,7.0792294,IS
8.905093,7.6467333,IS
8.45183,8.167599,IS
8.828732,7.6138425,IS
8.494257,8.176275,IS
8.75923,6.839452,IS
9.3375435,7.0731916,IS
8.6891165,6.801073,IS
9.160229,8.593521,IS
9.408116,8.492431,IS
8.37629,8.732262,IS
8.531064,8.693664,IS
8.31437,8.735704,IS
9.100004,8.177426,IS
10.034804,7.3806734,IS
8.2806225,8.823928,IS
9.728464,7.258878,IS
10.152312,7.39787,IS
9.841847,7.231651,IS
9.919637,7.333363,IS
9.954169,7.6616874,IS
9.922899,7.221843,IS
9.848235,7.303396,IS
9.80351,7.7476215,IS
9.873916,7.2136707,IS
9.864054,7.247074,IS
9.92164,7.3121533,IS
9.9340105,7.3199954,IS
9.882035,7.330138,IS
10.038275,7.2510624,IS
9.077493,8.285244,IS
9.759027,7.8232546,IS
8.420897,8.501127,IS
8.368006,8.382291,IS
9.486206,9.558558,IS
9.633462,9.509778,IS
9.6060915,9.506137,IS
9.664558,9.444266,IS
8.732911,9.208361,IS
9.689651,9.187682,IS
9.692343,9.423634,IS
9.618324,9.449809,IS
9.625596,9.391681,IS
8.673705,9.200053,IS
8.691618,9.166335,IS
9.6192045,9.53901,IS
9.664082,9.468863,IS
8.597242,9.167648,IS
9.617336,9.459647,IS
9.571687,9.496782,IS
9.52523,9.397293,IS
9.719709,9.250163,IS
9.279908,4.15484,IS
9.330359,4.162739,IS
9.397961,4.367516,IS
9.174571,4.0140386,IS
9.229263,4.0730634,IS
9.262301,4.144851,IS
9.280551,4.1614695,IS
9.118077,4.11994,IS
9.1224785,4.1276264,IS
9.2185335,4.0847287,IS
9.137396,4.1019073,IS
9.284907,4.1041512,IS
9.258807,4.157058,IS
9.258024,4.2674584,IS
9.21398,4.0220466,IS
9.1298,4.0753894,IS
9.072095,4.085136,IS
9.243083,4.075661,IS
9.277763,4.1780705,IS
9.284622,4.18855,IS
9.188582,4.2642064,IS
9.638565,9.359167,IS
9.574254,9.395473,IS
9.680555,9.521176,IS
9.620614,9.403967,IS
9.647942,9.445165,IS
9.662263,9.435401,IS
9.649695,9.385548,IS
9.743764,9.200485,IS
10.481613,9.68223,IS
10.371141,9.77017,IS
8.130754,8.873262,IS
8.311122,11.03459,IS
7.921158,8.780431,IS
8.311669,11.088734,IS
7.729997,8.896241,IS
7.7278523,8.872824,IS
7.6925135,8.832203,IS
9.395428,4.378313,IS
9.412821,4.3917265,IS
5.9447227,2.1505194,IS
5.9864874,2.180884,IS
6.9327197,2.0985103,IS
11.147927,1.2038869,IS
11.008153,1.237614,IS
11.484687,1.7636232,IS
11.465926,1.8050394,IS
11.354656,1.6608262,IS
11.575037,1.5840886,IS
11.45146,1.9022425,IS
11.4481,1.7098031,IS
11.555708,1.7039514,IS
11.39223,1.7441665,IS
11.336448,1.683244,IS
11.462752,1.8061808,IS
11.357194,1.5674297,IS
10.939145,1.3544688,IS
11.00595,1.2213343,IS
11.351245,1.6153979,IS
11.524533,1.384926,IS
11.482622,1.5661738,IS
11.431507,1.468591,IS
11.446718,7.82239,IS
7.591998,-4.7148933,IS
7.598413,-4.7150893,IS
7.6041155,-4.7212453,IS
7.6033263,-4.7221484,IS
7.6002994,-4.717006,IS
11.243375,1.0761342,IS
