receptor,generator,split,threshold,TUPOR,ASER,SESY
Glucocorticoid_receptor,DrugEx_RNN_epsilon_0.1_250k,dis,1.0,0.008428863840751219,1.2002717442856371e-05,0.9077301241252126
Glucocorticoid_receptor,DrugEx_RNN_epsilon_0.1_250k,sim,0.5,0.816698277910896,0.15250556504172627,0.9336002170943949
Glucocorticoid_receptor,DrugEx_RNN_epsilon_0.1_250k,sim,0.55,0.5686028038352551,0.08004508215017606,0.9336002170943949
Glucocorticoid_receptor,DrugEx_RNN_epsilon_0.1_250k,sim,0.6,0.40391639011732333,0.046055711623671704,0.9336002170943949
Glucocorticoid_receptor,DrugEx_RNN_epsilon_0.1_250k,sim,0.65,0.32235661572486085,0.02694698070107926,0.9336002170943949
Glucocorticoid_receptor,DrugEx_RNN_epsilon_0.1_250k,sim,0.7,0.26132437423889543,0.01605076811622282,0.9336002170943949
Glucocorticoid_receptor,DrugEx_RNN_epsilon_0.1_250k,sim,0.75,0.20574323583005447,0.00891994722976122,0.9336002170943949
Glucocorticoid_receptor,DrugEx_RNN_epsilon_0.1_250k,sim,0.8,0.1663197048515773,0.00455278500585414,0.9336002170943949
Glucocorticoid_receptor,DrugEx_RNN_epsilon_0.1_250k,sim,0.85,0.12149619750538179,0.00211236710903854,0.9336002170943949
Glucocorticoid_receptor,DrugEx_RNN_epsilon_0.1_250k,sim,0.9,0.08635607536683322,0.0007737282156004416,0.9336002170943949
Glucocorticoid_receptor,DrugEx_RNN_epsilon_0.1_250k,sim,0.95,0.05478738179971322,0.000242440362627213,0.9336002170943949
Glucocorticoid_receptor,DrugEx_RNN_epsilon_0.1_250k,sim,1.0,0.03615332768178814,7.042811080479372e-05,0.9336002170943949
Glucocorticoid_receptor,DrugEx_RNN_epsilon_0.6_250k,dis,0.5,0.9538508861000586,0.19818616891552454,0.9438142158690404
Glucocorticoid_receptor,DrugEx_RNN_epsilon_0.6_250k,dis,0.55,0.8464202920139812,0.12050684202436238,0.9438142158690404
Glucocorticoid_receptor,DrugEx_RNN_epsilon_0.6_250k,dis,0.6,0.7001198530119055,0.07529222774952314,0.9438142158690404
Glucocorticoid_receptor,DrugEx_RNN_epsilon_0.6_250k,dis,0.65,0.5682254082916004,0.045706091423816056,0.9438142158690404
Glucocorticoid_receptor,DrugEx_RNN_epsilon_0.6_250k,dis,0.7,0.47518256331059516,0.026528702413375023,0.9438142158690404
Glucocorticoid_receptor,DrugEx_RNN_epsilon_0.6_250k,dis,0.75,0.39935108483959186,0.014529578505856181,0.9438142158690404
Glucocorticoid_receptor,DrugEx_RNN_epsilon_0.6_250k,dis,0.8,0.34588263740913694,0.0072247409315904605,0.9438142158690404
Glucocorticoid_receptor,DrugEx_RNN_epsilon_0.6_250k,dis,0.85,0.2910689500243837,0.0031628387875289347,0.9438142158690404
Glucocorticoid_receptor,DrugEx_RNN_epsilon_0.6_250k,dis,0.9,0.2387153534145418,0.001165549559226048,0.9438142158690404
Glucocorticoid_receptor,DrugEx_RNN_epsilon_0.6_250k,dis,0.95,0.1547374443271437,0.00031060212316570197,0.9438142158690404
Glucocorticoid_receptor,DrugEx_RNN_epsilon_0.6_250k,dis,1.0,0.07566801070722724,9.208052774888405e-05,0.9438142158690404
Glucocorticoid_receptor,DrugEx_RNN_epsilon_0.6_250k,sim,0.5,0.9658071287368403,0.4974156247778427,0.9444757208835537
Glucocorticoid_receptor,DrugEx_RNN_epsilon_0.6_250k,sim,0.55,0.947461575642006,0.30734231113584387,0.9444757208835537
Glucocorticoid_receptor,DrugEx_RNN_epsilon_0.6_250k,sim,0.6,0.9002197942016904,0.1958354979857708,0.9444757208835537
Glucocorticoid_receptor,DrugEx_RNN_epsilon_0.6_250k,sim,0.65,0.8635435152571033,0.12415823997872961,0.9444757208835537
Glucocorticoid_receptor,DrugEx_RNN_epsilon_0.6_250k,sim,0.7,0.810695853133787,0.07564045958769518,0.9444757208835537
Glucocorticoid_receptor,DrugEx_RNN_epsilon_0.6_250k,sim,0.75,0.7663755832703648,0.04333740143395246,0.9444757208835537
Glucocorticoid_receptor,DrugEx_RNN_epsilon_0.6_250k,sim,0.8,0.7160921107414084,0.022310295973602977,0.9444757208835537
Glucocorticoid_receptor,DrugEx_RNN_epsilon_0.6_250k,sim,0.85,0.6224787327298797,0.0099137368877525,0.9444757208835537
Glucocorticoid_receptor,DrugEx_RNN_epsilon_0.6_250k,sim,0.9,0.5275371210442216,0.0038536274193441203,0.9444757208835537
Glucocorticoid_receptor,DrugEx_RNN_epsilon_0.6_250k,sim,0.95,0.3739479946559427,0.00110371782827956,0.9444757208835537
Glucocorticoid_receptor,DrugEx_RNN_epsilon_0.6_250k,sim,1.0,0.2398072702109439,0.0002946626801523,0.9444757208835537
Glucocorticoid_receptor,GB_GA_mut_r_0.01_250k,dis,0.5,0.6840584603671152,0.08094080000000001,0.8989512
Glucocorticoid_receptor,GB_GA_mut_r_0.01_250k,dis,0.55,0.6086823101185889,0.025445600000000002,0.8989512
Glucocorticoid_receptor,GB_GA_mut_r_0.01_250k,dis,0.6,0.48200569328193205,0.009478400000000001,0.8989512
Glucocorticoid_receptor,GB_GA_mut_r_0.01_250k,dis,0.65,0.3817575291338722,0.0037904,0.8989512
Glucocorticoid_receptor,GB_GA_mut_r_0.01_250k,dis,0.7,0.2533816545060141,0.0016343999999999998,0.8989512
Glucocorticoid_receptor,GB_GA_mut_r_0.01_250k,dis,0.75,0.1565082147672708,0.0007288,0.8989512
Glucocorticoid_receptor,GB_GA_mut_r_0.01_250k,dis,0.8,0.08455113770886538,0.0003336,0.8989512
Glucocorticoid_receptor,GB_GA_mut_r_0.01_250k,dis,0.85,0.03144850535157466,0.000152,0.8989512
Glucocorticoid_receptor,GB_GA_mut_r_0.01_250k,dis,0.9,0.01435773067998664,8.96e-05,0.8989512
Glucocorticoid_receptor,GB_GA_mut_r_0.01_250k,dis,0.95,0.0058162245821492195,3.52e-05,0.8989512
Glucocorticoid_receptor,GB_GA_mut_r_0.01_250k,dis,1.0,0.00309250707582302,5.6001184027776665e-06,0.8989512
Glucocorticoid_receptor,GB_GA_mut_r_0.01_250k,sim,0.5,0.7302435516072163,0.2715088,0.8994951999999999
Glucocorticoid_receptor,GB_GA_mut_r_0.01_250k,sim,0.55,0.6265323445954196,0.1475824,0.8994951999999999
Glucocorticoid_receptor,GB_GA_mut_r_0.01_250k,sim,0.6,0.4992017827334994,0.0870768,0.8994951999999999
Glucocorticoid_receptor,GB_GA_mut_r_0.01_250k,sim,0.65,0.41763317476991124,0.0503104,0.8994951999999999
Glucocorticoid_receptor,GB_GA_mut_r_0.01_250k,sim,0.7,0.3349646427452162,0.026835199999999997,0.8994951999999999
Glucocorticoid_receptor,GB_GA_mut_r_0.01_250k,sim,0.75,0.26602453602671716,0.014177599999999999,0.8994951999999999
