81,Cc1ccc(N(Cc2ccccc2)Cc2ccccc2)c(C)c1NS(C)(=O)=O,CHEMBL68965,5.18
82,Cc1ccc(NS(C)(=O)=O)c(C)c1N(Cc1ccccc1)Cc1ccccc1,CHEMBL308890,5.96
83,CCOc1c(NS(C)(=O)=O)cccc1N(Cc1ccccc1)Cc1ccccc1,CHEMBL70503,6.07
84,COc1cccc2c1-c1ccccc1C(c1ccccc1)O2,CHEMBL63422,5.0
85,COc1cccc2c1-c1ccc(N)cc1C(c1ccccc1)O2,CHEMBL292721,5.71
86,COC(=O)c1cccc2c1-c1ccc(NS(C)(=O)=O)cc1C(c1ccccc1)O2,CHEMBL294112,5.92
87,COc1cccc2c1-c1ccc(NS(C)(=O)=O)cc1C(c1ccccn1)O2,CHEMBL302166,5.84
88,C[C@@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COC(=O)c1c(C(F)(F)F)cccc1C(F)(F)F,CHEMBL52148,6.11
89,C[C@@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CSCCN=C=S,CHEMBL48439,6.36
90,CC[C@H]1C[C@@]2(C)C(CC[C@@H]2O)C2CCC3=CC(=O)CCC3=C21,CHEMBL184228,5.89
91,CCCCCCCC[C@H]1C[C@@]2(C)C(CC[C@@H]2O)C2CCC3=CC(=O)CCC3=C21,CHEMBL186467,6.01
92,CCCCCCCCCC[C@H]1C[C@@]2(C)C(CC[C@@H]2O)C2CCC3=CC(=O)CCC3=C21,CHEMBL186254,5.74
93,CCCCCCCCCCCC[C@H]1C[C@@]2(C)C(CC[C@@H]2O)C2CCC3=CC(=O)CCC3=C21,CHEMBL189306,6.06
94,Cc1c(NS(C)(=O)=O)cccc1N(Cc1ccccc1)Cc1ccc(C(=O)c2ccccc2)cc1,CHEMBL182842,6.47
95,Cc1c(NS(C)(=O)=O)cccc1N(Cc1ccccc1)Cc1ccc(CCC(=O)NCCO[C@H]2CC[C@@]3(C)[C@@H](C2)C[C@@H](O)[C@@H]2[C@@H]3C[C@H](O)[C@]3(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@@H]23)cc1,CHEMBL263814,6.25
96,CC12CCC(=O)C=C1CCCC2C(O)c1ccccc1,CHEMBL186893,5.68
97,Cc1c(NS(C)(=O)=O)cccc1N(Cc1ccc(Oc2ccc(Br)c(OCC(=O)O)c2)cc1)Cc1ccc(F)cc1F,CHEMBL191042,6.48
98,CS(=O)(=O)Nc1cccc(N(Cc2ccccc2)Cc2ccccc2)c1CO,CHEMBL71871,6.08
99,Cc1c(NS(C)(=O)=O)cccc1N(Cc1ccccc1)Cc1ccc(Oc2cccc(OCCCN3CCOCC3)c2)cc1,CHEMBL182016,6.48
100,Cc1c(NS(C)(=O)=O)cccc1N(Cc1ccc(Oc2ccc(Cl)c(OCC(=O)O)c2)cc1)Cc1ccc(F)cc1F,CHEMBL190109,6.3
101,Cc1c(NS(C)(=O)=O)cccc1N(Cc1ccccc1)Cc1ccc(Oc2ccc(CCC(=O)O)cc2)cc1,CHEMBL182472,6.3
102,Cc1c(NS(C)(=O)=O)cccc1N(Cc1ccc(Oc2ccc(F)c(OCC(=O)O)c2)cc1)Cc1ccc(F)cc1F,CHEMBL191423,6.36
103,Cc1c(NS(C)(=O)=O)cccc1N(Cc1ccccc1)Cc1ccc(Oc2cccc(CCC(=O)O)c2)cc1,CHEMBL182647,6.42
