chembl_id,pchembl_value,stand_value,canonical_smiles,scaffolds_csk
73,CHEMBL10008,5.27,5400.0,CC(C)(C)C(=O)Oc1ccccc1C(=O)OCc1cc(=O)c(OC(=O)C(C)(C)C)co1,C1CCC(CCCC2CCCCC2)CC1
74,CHEMBL40270,4.92,12000.0,CC(=O)Oc1cc(OC(C)=O)c2c(c1)C(=O)c1ccc(C)c(OC(C)=O)c1C2=O,C1CCC2CC3CCCCC3CC2C1
75,CHEMBL9916,5.85,1400.0,O=C(c1ccccc1)c1ccc(OC(=O)C2CC2)cc1,C1CCC(CC2CCC(CCC3CC3)CC2)CC1
76,CHEMBL289277,4.28,52000.0,Cc1cc(O)c2c(c1)C(=O)c1cc(O)cc(O)c1C2=O,C1CCC2CC3CCCCC3CC2C1
77,CHEMBL38674,4.68,21000.0,Cc1ccc2c(c1O)C(=O)c1c(O)cc(O)cc1C2=O,C1CCC2CC3CCCCC3CC2C1
78,CHEMBL320814,5.85,1400.0,CC(C)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](N)CC(=O)O)C(=O)N[C@H](C(=O)N1CCC[C@@H]1C(=O)N[C@@H](CCc1ccc(Cl)cc1)B1O[C@@H]2C[C@@H]3C[C@@H](C3(C)C)[C@]2(C)O1)C(C)C,C1CCC(CCC(CCC2CCCC2)C2CC3CC4CC(C4)C3C2)CC1
79,CHEMBL41902,5.23,5900.0,CCCOc1cc(O)c2c(c1)C(=O)c1cc(C)cc(O)c1C2=O,C1CCC2CC3CCCCC3CC2C1
80,CHEMBL44247,4.89,13000.0,CC(=O)Oc1cc(OC(C)=O)c2c(c1)C(=O)c1cc(C)cc(OC(C)=O)c1C2=O,C1CCC2CC3CCCCC3CC2C1
81,CHEMBL42624,5.21,6200.0,COc1cc(O)c2c(c1)C(=O)c1cc(C)cc(O)c1C2=O,C1CCC2CC3CCCCC3CC2C1
82,CHEMBL322933,5.14,7300.0,CC(C)CCC[C@H](NC(=O)[C@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](N)CC(=O)O)C(C)C)C(C)C)B1O[C@@H]2C[C@@H]3C[C@@H](C3(C)C)[C@]2(C)O1,C1CCC(CCCC2CC3CC4CC(C4)C3C2)C1
83,CHEMBL109483,5.24,5700.0,Cc1cccc(CC[C@H](NC(=O)[C@H]2CCCN2C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](N)CC(=O)O)C(C)C)C(C)C)B2O[C@@H]3C[C@@H]4C[C@@H](C4(C)C)[C@]3(C)O2)c1,C1CCC(CCC(CCC2CCCC2)C2CC3CC4CC(C4)C3C2)CC1
84,CHEMBL107869,5.75,1800.0,CC(C)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](N)CC(=O)O)C(=O)N[C@H](C(=O)N1CCC[C@@H]1C(=O)N[C@@H](CCc1ccc(C(F)(F)F)cc1)B1O[C@@H]2C[C@@H]3C[C@@H](C3(C)C)[C@]2(C)O1)C(C)C,C1CCC(CCC(CCC2CCCC2)C2CC3CC4CC(C4)C3C2)CC1
85,CHEMBL9702,5.0,10000.0,CC(C)(C)C(=O)Oc1ccccc1C(=O)c1ccccc1,C1CCC(CC2CCCCC2)CC1
86,CHEMBL86037,5.7,2000.0,CO[C@H]1C(=O)N2C(C(=O)N(C)C)=C(COC(C)=O)CS(=O)(=O)[C@H]12,C1CCC2CCC2C1
87,CHEMBL273849,5.05,9000.0,CCCCCCCCCCCCCCCCCCCC(=O)OCc1cc(=O)c(O)co1,C1CCCCC1
88,CHEMBL306251,5.3,5000.0,CO[C@H]1C(=O)N2C(C(=O)N(C)CC(=O)O)=C(COC(C)=O)CS(=O)(=O)[C@H]12,C1CCC2CCC2C1
89,CHEMBL276827,5.75,1800.0,CC(C)(C)C(=O)Oc1ccc(S(=O)(=O)c2ccc(O)cc2)cc1,C1CCC(CC2CCCCC2)CC1
90,CHEMBL3301639,4.68,21000.0,CC[C@H](C)[C@H](NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)C(=O)N[C@H](C(=O)N1C[C@H](OCc2ccccc2)C[C@H]1C(=O)NN(CC)C(=O)N[C@@H](C)c1ccccc1)C(C)C,C(CCCC1CCC(CCC2CCCCC2)C1)CCC1CCCCC1
91,CHEMBL499671,5.3,5000.0,CCCN(NC(=O)[C@@H]1C[C@@H](OCc2ccccc2)CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)[C@@H](C)CC)C(C)C)C(=O)N[C@@H](C)c1ccccc1,C(CCCC1CCC(CCC2CCCCC2)C1)CCC1CCCCC1
