molregno,stand_type,pchembl_value,stand_value,canonical_smiles,stand_inchi,chembl_id,tid,pref_name,scaffolds_csk,mfp
27,2106988,IC50,8.6,2.5,Cc1c(-c2cccc(C(F)F)c2)c(=O)c(C(=O)NCc2ccc(S(C)(=O)=NC#N)cc2F)cn1C(C)C,JKWRPJPXBVEAPE-UHFFFAOYSA-N,CHEMBL3897617,235,Leukocyte elastase ,C1CCC(CCCC2CCCC(C3CCCCC3)C2)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab7d9430>
28,2105220,IC50,8.64,2.3,Cc1c(-c2cccc(C(F)(F)F)c2)c(=O)c(C(=O)NCc2ccc(S(C)(=O)=NC#N)cc2)cn1C1CCOC1,AOIFTRNKICFEAI-UHFFFAOYSA-N,CHEMBL3895849,235,Leukocyte elastase ,C1CCC(CCCC2CC(C3CCCCC3)CC(C3CCCC3)C2)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab7d94a0>
29,1166191,IC50,6.39,410.0,CCOC(=O)c1nn(C(=O)c2cccc(C)c2)c2ccccc12,BFXKVILQLORGGZ-UHFFFAOYSA-N,CHEMBL1808496,235,Leukocyte elastase ,C1CCC(CC2CCC3CCCCC32)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab7d9510>
30,6766,IC50,6.35,450.0,CC(C)(C)C(=O)Oc1ccc(Oc2ccc(OC(=O)C(C)(C)C)cc2)cc1,NWTOVVOKYBGBFD-UHFFFAOYSA-N,CHEMBL10157,235,Leukocyte elastase ,C1CCC(CC2CCCCC2)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab7d9580>
31,88332,IC50,7.62,24.0,CC(C)C(NC(=O)c1ccc(S(=O)(=O)NC(=O)c2ccc(Cl)cc2)cc1)C(=O)N1C2CCC(CC2)[C@@H]1C(=O)NC(C(=O)C(F)(F)F)C(C)C,RSMRWUHFXSCYDW-SHRFQCPASA-N,CHEMBL60521,235,Leukocyte elastase ,C1CCC(CCCC2CCC(CCCCC3CC4CCC3CC4)CC2)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab7d95f0>
32,116769,IC50,6.0,1000.0,CC(C)C1C(=O)N2C(C(=O)OCc3ccccc3)=C(c3ccccc3)S[C@H]12,QISYIUCLWWOGGY-FBLFFUNLSA-N,CHEMBL74344,235,Leukocyte elastase ,C1CCC(CCCC2C3CCC3CC2C2CCCCC2)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab7d9660>
33,2322470,IC50,7.1,80.0,Cc1cccc(C(=O)n2cc(-c3nc(C)no3)c3cccnc32)c1,BLVWOCHQSGXLNO-UHFFFAOYSA-N,CHEMBL4283022,235,Leukocyte elastase ,C1CCC(CC2CC(C3CCCC3)C3CCCCC23)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab7d96d0>
34,2125351,IC50,8.01,9.7,CS(=O)(=O)c1cc(C#N)ccc1C1NC(=O)N(c2cccc(C(F)F)c2)C2=C1C(=O)CC2,GVRFKJQPRNAVAH-UHFFFAOYSA-N,CHEMBL3915980,235,Leukocyte elastase ,C1CCC(C2CCC(C3CCCCC3)C3CCCC23)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab7d9740>
35,254622,IC50,8.13,7.4,CC(C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)c1ccc(OCC(=O)O)cc1)C(C)C)C(=O)c1nc2ccccc2o1,WKSGBJHELSKLHB-HRNNMHKYSA-N,CHEMBL357495,235,Leukocyte elastase ,C1CCC(CCCCC2CCCC2CCCCC2CC3CCCCC3C2)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab7d97b0>
36,2112969,IC50,7.92,12.0,Cc1c(-c2cccc(C(F)(F)F)c2)c(=O)c(C(=O)NCc2ccc(S(C)(=O)=O)cc2)cn1C(C)C,SRCWFESZKLTZTC-UHFFFAOYSA-N,CHEMBL3903598,235,Leukocyte elastase ,C1CCC(CCCC2CCCC(C3CCCCC3)C2)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab7d9820>
37,2135838,IC50,8.14,7.3,CC(C)N1CCN(C(=O)c2cc(C#N)ccc2C2C3=C(CCC3=O)N(c3cccc(C(F)(F)F)c3)C(=O)N2C)CC1,FRPMNJOBEXDHJU-UHFFFAOYSA-N,CHEMBL3926467,235,Leukocyte elastase ,C1CCC(CC2CCCCC2C2CCC(C3CCCCC3)C3CCCC32)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ff2ab7d9890>
